coins-by-id/readme.md Array
(
    [0] => | | Coinmarketcap | Coincheckup | Coingecko | Matched | Cryptocompare |
    [1] => | --- | --- | --- | --- | --- | --- |
    [2] => | 1. | 0x | 0x | 0x | id, name | 186277 |
    [3] => | 2. | 2give | 2give | 2give | id, name | 20910 |
    [4] => | 3. | adtoken | adtoken | adtoken | id, name | 188858 |
    [5] => | 4. | adx-net | adx-net | adex | name | 170452 |
    [6] => | 5. | aelf | aelf | aelf | id, name | 571314 |
    [7] => | 6. | aeon | aeon | aeon | id, name | 20730 |
    [8] => | 7. | aergo | aergo | aergo | id, name | 928382 |
    [9] => | 8. | aeron | aeron | aeron | id, name | 335127 |
    [10] => | 9. | aeternity | aeternity | aeternity | id, name | 190978 |
    [11] => | 10. | agrello-delta | agrello-delta | agrello | name | 220204 |
    [12] => | 11. | aidcoin | aidcoin | aidcoin | id, name | 368770 |
    [13] => | 12. | aion | aion | aion | id, name | 431235 |
    [14] => | 13. | airswap | airswap | airswap | id | 337162 |
    [15] => | 14. | amber | ambrosus | amber | name | 238733 |
    [16] => | 15. | ankr-network | ankr-network | ankr | name | 929313 |
    [17] => | 16. | appcoins | appcoins | appcoins | id, name | 346812 |
    [18] => | 17. | aragon | aragon | aragon | id, name | 78152 |
    [19] => | 18. | ardor | ardor | ardor | id, name | 30173 |
    [20] => | 19. | ark | ark | ark | id, name | 32699 |
    [21] => | 20. | artbyte | artbyte-aby | artbyte | name | 5338 |
    [22] => | 21. | augur | augur | augur | id, name | 17778 |
    [23] => | 22. | bancor | bancor | bancor | id | 22327 |
    [24] => | 23. | bankex | bankex | bankex | id | 241757 |
    [25] => | 24. | basic-attention-token | basic-attention-token | basic-attention-token | id, name | 107672 |
    [26] => | 25. | bean-cash | bitbean | bean-cash | name |  |
    [27] => | 26. | binance-coin | binance-coin | binancecoin | name | 204788 |
    [28] => | 27. | bit-tube | bittube | bittube | id, name | 815372 |
    [29] => | 28. | bitbay | bitbay | bitbay | id, name | 5300 |
    [30] => | 29. | bitcoin-cash | bitcoin-cash | bitcoin-cash | id, name | 202330 |
    [31] => | 30. | bitcoin-diamond | bitcoin-diamond | bitcoin-diamond | id, name | 409492 |
    [32] => | 31. | bitcoin-gold | bitcoin-gold | bitcoin-gold | id, name | 347235 |
    [33] => | 32. | bitcoin-sv | bitcoin-sv | bitcoin-cash-sv | name | 926591 |
    [34] => | 33. | bitsend | bitsend | bitsend | id, name | 22329 |
    [35] => | 34. | bitshares | bitshares | bitshares | id, name | 5039 |
    [36] => | 35. | bitswift | bitswift | bitswift | id, name |  |
    [37] => | 36. | bittorrent | bittorrent | bittorrent-2 | name | 928723 |
    [38] => | 37. | blackcoin | blackcoin | blackcoin | id, name | 4339 |
    [39] => | 38. | blockmason | blockmason-credit-protocol | blockmason-credit-protocol | id, name | 374281 |
    [40] => | 39. | blocknet | blocknet | blocknet | id, name | 5305 |
    [41] => | 40. | blocktix | blocktix | blocktix | id, name | 175671 |
    [42] => | 41. | blockv | blockv | blockv | id, name | 306482 |
    [43] => | 42. | bloomtoken | bloom | bloom | id, name |  |
    [44] => | 43. | blox | blox | blox | id, name | 177139 |
    [45] => | 44. | bluzelle | bluzelle | bluzelle | id, name | 752710 |
    [46] => | 45. | bnktothefuture | bnktothefuture | bnktothefuture | id, name | 710240 |
    [47] => | 46. | bora | bora | bora | id, name |  |
    [48] => | 47. | bread | bread | bread | id, name | 543502 |
    [49] => | 48. | btu-protocol | btu-protocol | btu-protocol | id, name | 928781 |
    [50] => | 49. | burst | burst | burst | id, name | 5286 |
    [51] => | 50. | bytom | bytom | bytom | id, name | 218008 |
    [52] => | 51. | cannabiscoin | cannabiscoin | cannabiscoin | id, name | 4407 |
    [53] => | 52. | cardano | cardano | cardano | id, name | 321992 |
    [54] => | 53. | cashbet-coin | cashbet-coin | cashbet-coin | id, name | 903690 |
    [55] => | 54. | celer-network | celer-network | celer-network | id, name | 929546 |
    [56] => | 55. | chainlink | chainlink | chainlink | id, name | 309621 |
    [57] => | 56. | cindicator | cindicator | cindicator | id, name | 338070 |
    [58] => | 57. | circuits-of-value | circuits-of-value | circuits-of-value | id, name | 28276 |
    [59] => | 58. | civic | civic | civic | id, name | 139467 |
    [60] => | 59. | cloakcoin | cloakcoin | cloakcoin | id | 4417 |
    [61] => | 60. | cortex | cortex | cortex | id, name | 856139 |
    [62] => | 61. | cosmos | cosmos | cosmos | id, name |  |
    [63] => | 62. | counterparty | counterparty | counterparty | id, name | 5292 |
    [64] => | 63. | crowd-machine | crowd-machine | crowd-machine | id, name | 793021 |
    [65] => | 64. | crown | crown | crown | id, name | 7586 |
    [66] => | 65. | crypto-com | crypto.com | monaco | name | 166548 |
    [67] => | 66. | crypto-com-chain | crypto.com-chain | crypto-com-chain | name | 929418 |
    [68] => | 67. | curecoin | curecoin | curecoin | id, name | 5387 |
    [69] => | 68. | cybermiles | cybermiles | cybermiles | id, name | 439963 |
    [70] => | 69. | dash | dash | dash | id, name | 3807 |
    [71] => | 70. | data | data | data | id, name | 713186 |
    [72] => | 71. | databits | databits | databits | id, name | 55540 |
    [73] => | 72. | decent | decent | decent | id | 25721 |
    [74] => | 73. | decentraland | decentraland | decentraland | id, name | 199148 |
    [75] => | 74. | decision-token | decision-token | decision-token | id, name | 374246 |
    [76] => | 75. | decred | decred | decred | id, name | 16713 |
    [77] => | 76. | dent | dent | dent | id, name | 141331 |
    [78] => | 77. | diamond | diamond | diamond | id, name | 4431 |
    [79] => | 78. | digibyte | digibyte | digibyte | id, name | 4430 |
    [80] => | 79. | digitalnote | digitalnote | digitalnote | id, name | 5282 |
